date,count
2016-01-05,1
2016-01-06,0
2016-01-07,0
2016-01-08,0
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,0
2016-01-13,0
2016-01-14,0
2016-01-15,4
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,1
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,0
2016-01-24,0
2016-01-25,0
2016-01-26,1
2016-01-27,1
2016-01-28,0
2016-01-29,0
2016-01-30,1
2016-01-31,0
2016-02-01,0
2016-02-02,0
2016-02-03,0
2016-02-04,1
2016-02-05,2
2016-02-06,1
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,0
2016-02-15,1
2016-02-16,0
2016-02-17,0
2016-02-18,1
2016-02-19,0
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,0
2016-02-24,1
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-04,0
2016-03-05,0
2016-03-06,0
2016-03-07,0
2016-03-08,0
2016-03-09,0
2016-03-10,1
2016-03-11,0
2016-03-12,0
2016-03-13,0
2016-03-14,1
2016-03-15,0
2016-03-16,0
2016-03-17,0
2016-03-18,2
2016-03-19,0
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,0
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,0
2016-03-29,0
2016-03-30,0
2016-03-31,0
2016-04-01,0
2016-04-02,0
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,1
2016-04-09,1
2016-04-10,0
2016-04-11,0
2016-04-12,1
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-19,0
2016-04-20,0
2016-04-21,1
2016-04-22,0
2016-04-23,0
2016-04-24,1
2016-04-25,0
2016-04-26,0
2016-04-27,0
2016-04-28,0
2016-04-29,0
2016-04-30,0
2016-05-01,0
2016-05-02,0
2016-05-03,0
2016-05-04,0
2016-05-05,1
2016-05-06,2
2016-05-07,0
2016-05-08,0
2016-05-09,1
2016-05-10,2
2016-05-11,0
2016-05-12,1
2016-05-13,0
2016-05-14,1
2016-05-15,0
2016-05-16,2
2016-05-17,3
2016-05-18,1
2016-05-19,0
2016-05-20,0
2016-05-21,0
2016-05-22,1
2016-05-23,0
2016-05-24,2
2016-05-25,0
2016-05-26,0
2016-05-27,0
2016-05-28,0
2016-05-29,1
2016-05-30,3
2016-05-31,1
2016-06-01,0
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,1
2016-06-09,1
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,0
2016-06-15,2
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,0
2016-06-22,0
2016-06-23,1
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,4
2016-07-02,0
2016-07-03,0
2016-07-04,1
2016-07-05,1
2016-07-06,1
2016-07-07,0
2016-07-08,0
2016-07-09,1
2016-07-10,0
2016-07-11,0
2016-07-12,0
2016-07-13,0
2016-07-14,0
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,1
2016-07-19,0
2016-07-20,2
2016-07-21,1
2016-07-22,0
2016-07-23,1
2016-07-24,0
2016-07-25,0
2016-07-26,1
2016-07-27,1
2016-07-28,0
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,0
2016-08-02,2
2016-08-03,2
2016-08-04,1
2016-08-05,0
2016-08-06,0
2016-08-07,0
2016-08-08,1
2016-08-09,0
2016-08-10,0
2016-08-11,0
2016-08-12,1
2016-08-13,0
2016-08-14,0
2016-08-15,0
2016-08-16,1
2016-08-17,1
2016-08-18,2
2016-08-19,0
2016-08-20,0
2016-08-21,2
2016-08-22,1
2016-08-23,1
2016-08-24,0
2016-08-25,0
2016-08-26,0
2016-08-27,1
2016-08-28,1
2016-08-29,0
2016-08-30,2
2016-08-31,0
2016-09-01,6
2016-09-02,3
2016-09-03,3
2016-09-04,1
2016-09-05,6
2016-09-06,4
2016-09-07,0
2016-09-08,7
2016-09-09,2
2016-09-10,0
2016-09-11,9
2016-09-12,5
2016-09-13,3
2016-09-14,2
2016-09-15,2
2016-09-16,1
2016-09-17,1
2016-09-18,0
2016-09-19,2
2016-09-20,2
2016-09-21,2
2016-09-22,1
2016-09-23,0
2016-09-24,1
2016-09-25,1
2016-09-26,1
2016-09-27,2
2016-09-28,6
2016-09-29,12
2016-09-30,7
2016-10-01,8
2016-10-02,4
2016-10-03,16
2016-10-04,8
2016-10-05,4
2016-10-06,9
2016-10-07,7
2016-10-08,12
2016-10-09,5
2016-10-10,9
2016-10-11,4
2016-10-12,9
2016-10-13,5
2016-10-14,3
2016-10-15,4
2016-10-16,8
2016-10-17,4
2016-10-18,5
2016-10-19,3
2016-10-20,1
2016-10-21,11
2016-10-22,14
2016-10-23,44
2016-10-24,49
2016-10-25,65
2016-10-26,59
2016-10-27,51
2016-10-28,89
2016-10-29,54
2016-10-30,42
2016-10-31,90
2016-11-01,50
2016-11-02,26
2016-11-03,43
2016-11-04,68
2016-11-05,43
2016-11-06,92
2016-11-07,12
2016-11-08,18
2016-11-09,46
2016-11-10,35
2016-11-11,21
2016-11-12,30
2016-11-13,17
2016-11-14,18
2016-11-15,1
2016-11-16,100
2016-11-17,15
2016-11-18,20
2016-11-19,46
2016-11-20,59
2016-11-21,31
2016-11-22,10
2016-11-23,2
2016-11-24,5
2016-11-25,17
2016-11-26,10
2016-11-27,22
2016-11-28,18
2016-11-29,23
2016-11-30,18
2016-12-01,7
2016-12-02,11
2016-12-03,10
2016-12-04,45
2016-12-05,31
2016-12-06,23
2016-12-07,9
2016-12-08,16
2016-12-09,11
2016-12-10,17
2016-12-11,5
2016-12-12,22
2016-12-13,9
2016-12-14,4
2016-12-15,8
2016-12-16,8
2016-12-17,0
2016-12-18,2
2016-12-19,122
2016-12-20,35
2016-12-21,30
2016-12-22,7
2016-12-23,1
2016-12-24,3
2016-12-25,3
2016-12-26,0
2016-12-27,1
2016-12-28,7
2016-12-29,5
2016-12-30,4
2016-12-31,12
2017-01-01,15
2017-01-02,12
2017-01-03,29
2017-01-04,29
2017-01-05,16
2017-01-06,20
2017-01-07,32
2017-01-08,12
2017-01-09,22
2017-01-10,4
2017-01-11,1
2017-01-12,2
2017-01-13,9
2017-01-14,1
2017-01-15,1
