date,count
2016-01-05,2
2016-01-06,4
2016-01-07,4
2016-01-08,4
2016-01-09,0
2016-01-10,0
2016-01-11,2
2016-01-12,6
2016-01-13,2
2016-01-14,1
2016-01-15,4
2016-01-16,0
2016-01-17,1
2016-01-18,1
2016-01-19,0
2016-01-20,2
2016-01-21,17
2016-01-22,1
2016-01-23,0
2016-01-24,0
2016-01-25,2
2016-01-26,1
2016-01-27,6
2016-01-28,8
2016-01-29,0
2016-01-30,0
2016-01-31,1
2016-02-01,0
2016-02-02,1
2016-02-03,3
2016-02-04,3
2016-02-05,3
2016-02-06,0
2016-02-07,0
2016-02-08,2
2016-02-09,1
2016-02-10,4
2016-02-11,2
2016-02-12,1
2016-02-13,0
2016-02-14,0
2016-02-15,0
2016-02-16,1
2016-02-17,0
2016-02-18,0
2016-02-19,1
2016-02-20,0
2016-02-21,1
2016-02-22,2
2016-02-23,3
2016-02-24,0
2016-02-25,6
2016-02-26,7
2016-02-27,1
2016-02-28,0
2016-02-29,1
2016-03-01,2
2016-03-02,3
2016-03-03,4
2016-03-04,1
2016-03-05,0
2016-03-06,1
2016-03-07,1
2016-03-08,3
2016-03-09,5
2016-03-10,5
2016-03-11,8
2016-03-12,2
2016-03-13,1
2016-03-14,2
2016-03-15,2
2016-03-16,3
2016-03-17,5
2016-03-18,6
2016-03-19,1
2016-03-20,0
2016-03-21,2
2016-03-22,1
2016-03-23,3
2016-03-24,4
2016-03-25,3
2016-03-26,3
2016-03-27,0
2016-03-28,2
2016-03-29,5
2016-03-30,8
2016-03-31,1
2016-04-01,4
2016-04-02,0
2016-04-03,1
2016-04-04,5
2016-04-05,9
2016-04-06,4
2016-04-07,1
2016-04-08,7
2016-04-09,0
2016-04-10,1
2016-04-11,5
2016-04-12,8
2016-04-13,4
2016-04-14,11
2016-04-15,11
2016-04-16,3
2016-04-17,2
2016-04-18,9
2016-04-19,14
2016-04-20,13
2016-04-21,17
2016-04-22,11
2016-04-23,11
2016-04-24,12
2016-04-25,7
2016-04-26,18
2016-04-27,11
2016-04-28,9
2016-04-29,13
2016-04-30,14
2016-05-01,8
2016-05-02,7
2016-05-03,12
2016-05-04,15
2016-05-05,11
2016-05-06,14
2016-05-07,8
2016-05-08,2
2016-05-09,15
2016-05-10,13
2016-05-11,20
2016-05-12,16
2016-05-13,10
2016-05-14,6
2016-05-15,5
2016-05-16,12
2016-05-17,19
2016-05-18,20
2016-05-19,23
2016-05-20,15
2016-05-21,14
2016-05-22,12
