date,count
2016-01-05,1
2016-01-06,2
2016-01-07,2
2016-01-08,1
2016-01-09,0
2016-01-10,0
2016-01-11,2
2016-01-12,1
2016-01-13,0
2016-01-14,3
2016-01-15,3
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,1
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,0
2016-01-24,0
2016-01-25,1
2016-01-26,0
2016-01-27,0
2016-01-28,0
2016-01-29,1
2016-01-30,1
2016-01-31,0
2016-02-01,0
2016-02-02,1
2016-02-03,1
2016-02-04,2
2016-02-05,1
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,1
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,0
2016-02-15,0
2016-02-16,0
2016-02-17,1
2016-02-18,2
2016-02-19,2
2016-02-20,0
2016-02-21,0
2016-02-22,1
2016-02-23,1
2016-02-24,0
2016-02-25,1
2016-02-26,4
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,3
2016-03-02,0
2016-03-03,3
2016-03-04,0
2016-03-05,0
2016-03-06,0
2016-03-07,10
2016-03-08,0
2016-03-09,0
2016-03-10,1
2016-03-11,0
2016-03-12,1
2016-03-13,0
2016-03-14,1
2016-03-15,1
2016-03-16,3
2016-03-17,1
2016-03-18,0
2016-03-19,0
2016-03-20,0
2016-03-21,3
2016-03-22,4
2016-03-23,1
2016-03-24,3
2016-03-25,2
2016-03-26,0
2016-03-27,0
2016-03-28,0
2016-03-29,1
2016-03-30,0
2016-03-31,1
2016-04-01,2
2016-04-02,1
2016-04-03,0
2016-04-04,1
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,0
2016-04-09,2
2016-04-10,1
2016-04-11,2
2016-04-12,2
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-19,1
2016-04-20,2
2016-04-21,0
2016-04-22,0
2016-04-23,0
2016-04-24,0
2016-04-25,0
2016-04-26,0
2016-04-27,2
2016-04-28,2
2016-04-29,0
2016-04-30,0
2016-05-01,0
2016-05-02,0
2016-05-03,1
2016-05-04,0
2016-05-05,0
2016-05-06,3
2016-05-07,1
2016-05-08,0
2016-05-09,1
2016-05-10,0
2016-05-11,0
2016-05-12,1
2016-05-13,0
2016-05-14,0
2016-05-15,0
2016-05-16,1
2016-05-17,1
2016-05-18,2
2016-05-19,2
2016-05-20,3
2016-05-21,1
2016-05-22,0
2016-05-23,0
2016-05-24,2
2016-05-25,0
2016-05-26,1
2016-05-27,1
