date,count
2016-02-09,1
2016-02-10,2
2016-02-11,2
2016-02-12,3
2016-02-13,0
2016-02-14,0
2016-02-15,1
2016-02-16,3
2016-02-17,1
2016-02-18,0
2016-02-19,3
2016-02-20,0
2016-02-21,0
2016-02-22,2
2016-02-23,2
2016-02-24,3
2016-02-25,2
2016-02-26,2
2016-02-27,0
2016-02-28,0
2016-02-29,2
2016-03-01,3
2016-03-02,2
2016-03-03,4
2016-03-04,1
2016-03-05,0
2016-03-06,0
2016-03-07,2
2016-03-08,2
2016-03-09,2
2016-03-10,3
2016-03-11,5
2016-03-12,0
2016-03-13,1
2016-03-14,2
2016-03-15,3
2016-03-16,3
2016-03-17,3
2016-03-18,2
2016-03-19,0
2016-03-20,0
2016-03-21,1
2016-03-22,2
2016-03-23,1
2016-03-24,2
2016-03-25,1
2016-03-26,0
2016-03-27,0
2016-03-28,2
2016-03-29,0
2016-03-30,0
2016-03-31,0
2016-04-01,0
2016-04-02,0
2016-04-03,0
2016-04-04,0
2016-04-05,1
2016-04-06,3
2016-04-07,2
2016-04-08,1
2016-04-09,0
2016-04-10,0
2016-04-11,1
2016-04-12,0
2016-04-13,0
2016-04-14,2
2016-04-15,2
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-19,0
2016-04-20,0
2016-04-21,0
2016-04-22,0
2016-04-23,0
2016-04-24,0
2016-04-25,0
2016-04-26,0
2016-04-27,0
2016-04-28,1
2016-04-29,0
2016-04-30,0
2016-05-01,0
2016-05-02,1
2016-05-03,0
2016-05-04,0
2016-05-05,1
2016-05-06,0
2016-05-07,0
2016-05-08,0
2016-05-09,0
2016-05-10,1
2016-05-11,0
2016-05-12,1
2016-05-13,0
2016-05-14,0
2016-05-15,0
2016-05-16,0
2016-05-17,0
2016-05-18,3
2016-05-19,1
2016-05-20,0
2016-05-21,0
2016-05-22,2
2016-05-23,0
2016-05-24,0
2016-05-25,0
2016-05-26,0
2016-05-27,0
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,1
2016-06-01,1
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,1
2016-06-09,0
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,0
2016-06-15,0
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,0
2016-06-22,0
2016-06-23,0
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,0
2016-07-07,0
2016-07-08,3
2016-07-09,0
2016-07-10,0
2016-07-11,0
2016-07-12,1
2016-07-13,0
2016-07-14,1
2016-07-15,1
2016-07-16,1
2016-07-17,0
2016-07-18,0
2016-07-19,0
2016-07-20,0
2016-07-21,1
2016-07-22,0
2016-07-23,0
2016-07-24,0
2016-07-25,0
2016-07-26,0
2016-07-27,0
2016-07-28,0
2016-07-29,0
2016-07-30,1
2016-07-31,0
2016-08-01,0
