date,count
2016-01-02,2
2016-01-03,0
2016-01-04,3
2016-01-05,3
2016-01-06,3
2016-01-07,1
2016-01-08,0
2016-01-09,1
2016-01-10,4
2016-01-11,1
2016-01-12,5
2016-01-13,2
2016-01-14,0
2016-01-15,7
2016-01-16,0
2016-01-17,0
2016-01-18,2
2016-01-19,1
2016-01-20,1
2016-01-21,2
2016-01-22,4
2016-01-23,0
2016-01-24,1
2016-01-25,2
2016-01-26,2
2016-01-27,3
2016-01-28,1
2016-01-29,8
2016-01-30,8
2016-01-31,0
2016-02-01,1
2016-02-02,3
2016-02-03,1
2016-02-04,1
2016-02-05,1
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,2
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,2
2016-02-14,0
2016-02-15,3
2016-02-16,1
2016-02-17,3
2016-02-18,1
2016-02-19,2
2016-02-20,0
2016-02-21,1
2016-02-22,0
2016-02-23,0
2016-02-24,1
2016-02-25,0
2016-02-26,3
2016-02-27,0
2016-02-28,0
2016-02-29,2
2016-03-01,0
2016-03-02,2
2016-03-03,2
2016-03-04,1
2016-03-05,1
2016-03-06,0
2016-03-07,0
2016-03-08,1
2016-03-09,2
2016-03-10,2
2016-03-11,5
2016-03-12,4
2016-03-13,2
2016-03-14,1
2016-03-15,3
2016-03-16,1
2016-03-17,0
2016-03-18,3
2016-03-19,0
2016-03-20,0
2016-03-21,0
2016-03-22,4
2016-03-23,1
2016-03-24,5
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,1
2016-03-29,4
2016-03-30,2
2016-03-31,0
2016-04-01,0
2016-04-02,0
2016-04-03,2
2016-04-04,0
2016-04-05,1
2016-04-06,1
2016-04-07,2
2016-04-08,2
2016-04-09,0
2016-04-10,2
2016-04-11,0
2016-04-12,1
2016-04-13,0
2016-04-14,1
2016-04-15,2
2016-04-16,1
2016-04-17,0
2016-04-18,2
2016-04-19,4
2016-04-20,0
2016-04-21,2
2016-04-22,0
2016-04-23,1
2016-04-24,3
2016-04-25,5
2016-04-26,10
2016-04-27,0
2016-04-28,2
2016-04-29,1
2016-04-30,2
2016-05-01,0
2016-05-02,1
2016-05-03,2
2016-05-04,2
2016-05-05,2
2016-05-06,4
2016-05-07,4
2016-05-08,2
2016-05-09,1
2016-05-10,4
2016-05-11,2
2016-05-12,1
2016-05-13,2
2016-05-14,4
2016-05-15,1
2016-05-16,1
2016-05-17,1
2016-05-18,1
2016-05-19,0
2016-05-20,2
2016-05-21,0
2016-05-22,1
2016-05-23,3
2016-05-24,5
2016-05-25,0
2016-05-26,5
2016-05-27,5
2016-05-28,0
2016-05-29,0
2016-05-30,3
2016-05-31,1
2016-06-01,1
2016-06-02,1
2016-06-03,1
2016-06-04,0
2016-06-05,1
2016-06-06,1
2016-06-07,0
2016-06-08,0
2016-06-09,1
2016-06-10,1
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,0
2016-06-15,0
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,0
2016-06-22,0
2016-06-23,0
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,7
2016-07-02,1
2016-07-03,0
2016-07-04,3
2016-07-05,1
2016-07-06,4
2016-07-07,2
2016-07-08,1
2016-07-09,2
2016-07-10,1
2016-07-11,2
2016-07-12,1
2016-07-13,0
2016-07-14,0
2016-07-15,1
2016-07-16,0
2016-07-17,1
2016-07-18,6
2016-07-19,6
2016-07-20,3
2016-07-21,4
2016-07-22,1
2016-07-23,2
2016-07-24,0
2016-07-25,1
2016-07-26,2
2016-07-27,0
2016-07-28,1
2016-07-29,1
2016-07-30,0
2016-07-31,0
2016-08-01,1
2016-08-02,2
2016-08-03,4
2016-08-04,5
2016-08-05,2
2016-08-06,4
2016-08-07,1
2016-08-08,2
2016-08-09,5
2016-08-10,13
2016-08-11,5
2016-08-12,2
2016-08-13,0
2016-08-14,4
2016-08-15,1
2016-08-16,4
2016-08-17,1
2016-08-18,2
2016-08-19,1
2016-08-20,1
2016-08-21,1
2016-08-22,1
2016-08-23,2
2016-08-24,4
2016-08-25,1
2016-08-26,2
2016-08-27,3
2016-08-28,2
2016-08-29,1
2016-08-30,1
2016-08-31,2
2016-09-01,4
2016-09-02,1
2016-09-03,0
2016-09-04,3
2016-09-05,4
2016-09-06,3
2016-09-07,3
2016-09-08,8
2016-09-09,11
2016-09-10,4
2016-09-11,12
2016-09-12,9
2016-09-13,6
2016-09-14,9
2016-09-15,4
2016-09-16,11
2016-09-17,6
2016-09-18,4
2016-09-19,13
2016-09-20,10
2016-09-21,8
2016-09-22,9
2016-09-23,16
2016-09-24,5
2016-09-25,15
2016-09-26,15
2016-09-27,12
2016-09-28,15
2016-09-29,13
2016-09-30,7
2016-10-01,5
2016-10-02,5
2016-10-03,11
2016-10-04,13
2016-10-05,5
2016-10-06,4
2016-10-07,7
2016-10-08,0
2016-10-09,1
2016-10-10,2
2016-10-11,7
2016-10-12,14
2016-10-13,8
2016-10-14,3
2016-10-15,2
2016-10-16,1
2016-10-17,2
2016-10-18,2
2016-10-19,4
2016-10-20,5
2016-10-21,107
2016-10-22,47
2016-10-23,20
2016-10-24,40
2016-10-25,22
2016-10-26,19
2016-10-27,18
2016-10-28,11
2016-10-29,16
2016-10-30,18
2016-10-31,12
2016-11-01,6
2016-11-02,9
2016-11-03,11
2016-11-04,10
2016-11-05,6
2016-11-06,6
2016-11-07,5
2016-11-08,14
2016-11-09,18
2016-11-10,8
2016-11-11,13
2016-11-12,8
2016-11-13,5
2016-11-14,8
2016-11-15,9
