date,count
2016-01-01,2
2016-01-02,0
2016-01-03,2
2016-01-04,1
2016-01-05,1
2016-01-06,0
2016-01-07,2
2016-01-08,4
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,3
2016-01-13,3
2016-01-14,1
2016-01-15,0
2016-01-16,1
2016-01-17,0
2016-01-18,1
2016-01-19,6
2016-01-20,1
2016-01-21,3
2016-01-22,1
2016-01-23,0
2016-01-24,1
2016-01-25,1
2016-01-26,4
2016-01-27,4
2016-01-28,0
2016-01-29,2
2016-01-30,3
2016-01-31,1
2016-02-01,1
2016-02-02,5
2016-02-03,2
2016-02-04,1
2016-02-05,5
2016-02-06,1
2016-02-07,1
2016-02-08,0
2016-02-09,6
2016-02-10,6
2016-02-11,6
2016-02-12,7
2016-02-13,3
2016-02-14,0
2016-02-15,2
2016-02-16,4
2016-02-17,8
2016-02-18,6
2016-02-19,4
2016-02-20,2
2016-02-21,2
2016-02-22,3
2016-02-23,2
2016-02-24,7
2016-02-25,11
2016-02-26,1
2016-02-27,2
2016-02-28,0
2016-02-29,2
2016-03-01,0
2016-03-02,6
2016-03-03,10
2016-03-04,4
2016-03-05,0
2016-03-06,1
2016-03-07,3
2016-03-08,9
2016-03-09,3
2016-03-10,1
2016-03-11,2
2016-03-12,0
2016-03-13,1
2016-03-14,1
2016-03-15,1
2016-03-16,10
2016-03-17,7
2016-03-18,6
2016-03-19,1
2016-03-20,3
2016-03-21,5
2016-03-22,0
2016-03-23,1
2016-03-24,6
2016-03-25,2
2016-03-26,0
2016-03-27,0
2016-03-28,2
2016-03-29,2
2016-03-30,5
2016-03-31,4
2016-04-01,6
2016-04-02,3
2016-04-03,1
2016-04-04,3
2016-04-05,10
2016-04-06,3
2016-04-07,3
2016-04-08,2
2016-04-09,2
2016-04-10,2
2016-04-11,6
2016-04-12,2
2016-04-13,1
2016-04-14,5
2016-04-15,5
2016-04-16,1
2016-04-17,1
2016-04-18,3
2016-04-19,6
2016-04-20,3
2016-04-21,6
2016-04-22,6
2016-04-23,3
2016-04-24,1
2016-04-25,4
2016-04-26,4
2016-04-27,7
2016-04-28,7
2016-04-29,8
2016-04-30,3
2016-05-01,2
2016-05-02,5
2016-05-03,3
2016-05-04,1
2016-05-05,11
2016-05-06,4
2016-05-07,3
2016-05-08,0
2016-05-09,5
2016-05-10,5
2016-05-11,2
2016-05-12,5
2016-05-13,8
2016-05-14,2
2016-05-15,1
2016-05-16,9
2016-05-17,4
2016-05-18,6
2016-05-19,7
2016-05-20,5
2016-05-21,6
2016-05-22,2
2016-05-23,6
2016-05-24,7
2016-05-25,2
2016-05-26,6
2016-05-27,4
2016-05-28,2
2016-05-29,4
2016-05-30,0
2016-05-31,2
2016-06-01,1
2016-06-02,0
2016-06-03,3
2016-06-04,0
2016-06-05,2
2016-06-06,2
2016-06-07,1
2016-06-08,4
2016-06-09,1
2016-06-10,4
2016-06-11,0
2016-06-12,1
2016-06-13,1
2016-06-14,0
2016-06-15,2
2016-06-16,3
2016-06-17,1
2016-06-18,0
2016-06-19,0
2016-06-20,1
2016-06-21,2
2016-06-22,2
2016-06-23,0
2016-06-24,2
2016-06-25,2
2016-06-26,1
2016-06-27,0
2016-06-28,2
2016-06-29,3
2016-06-30,0
2016-07-01,5
2016-07-02,4
2016-07-03,0
2016-07-04,2
2016-07-05,1
2016-07-06,4
2016-07-07,1
2016-07-08,8
2016-07-09,3
2016-07-10,1
2016-07-11,1
2016-07-12,2
2016-07-13,6
2016-07-14,2
2016-07-15,3
2016-07-16,2
2016-07-17,3
2016-07-18,10
2016-07-19,10
2016-07-20,3
2016-07-21,8
2016-07-22,7
2016-07-23,2
2016-07-24,2
2016-07-25,9
2016-07-26,7
2016-07-27,11
2016-07-28,8
2016-07-29,10
2016-07-30,2
2016-07-31,6
2016-08-01,0
2016-08-02,6
2016-08-03,6
2016-08-04,10
2016-08-05,7
2016-08-06,3
2016-08-07,2
2016-08-08,4
2016-08-09,3
2016-08-10,8
2016-08-11,12
2016-08-12,17
2016-08-13,3
2016-08-14,4
2016-08-15,3
2016-08-16,7
2016-08-17,13
2016-08-18,5
2016-08-19,5
2016-08-20,7
2016-08-21,4
2016-08-22,1
2016-08-23,8
2016-08-24,10
2016-08-25,5
2016-08-26,5
2016-08-27,5
2016-08-28,1
2016-08-29,5
2016-08-30,18
2016-08-31,16
2016-09-01,12
2016-09-02,5
2016-09-03,8
2016-09-04,5
2016-09-05,6
2016-09-06,7
2016-09-07,22
2016-09-08,20
2016-09-09,6
2016-09-10,1
2016-09-11,6
2016-09-12,5
2016-09-13,5
2016-09-14,19
2016-09-15,17
2016-09-16,12
2016-09-17,9
2016-09-18,4
2016-09-19,10
2016-09-20,8
2016-09-21,14
2016-09-22,4
2016-09-23,16
2016-09-24,7
2016-09-25,8
2016-09-26,19
2016-09-27,14
2016-09-28,13
2016-09-29,10
2016-09-30,7
2016-10-01,6
2016-10-02,5
2016-10-03,3
2016-10-04,7
2016-10-05,7
2016-10-06,12
2016-10-07,13
2016-10-08,3
2016-10-09,2
2016-10-10,12
2016-10-11,13
2016-10-12,8
2016-10-13,4
2016-10-14,10
2016-10-15,8
2016-10-16,8
2016-10-17,19
2016-10-18,7
2016-10-19,13
2016-10-20,16
2016-10-21,15
2016-10-22,7
2016-10-23,2
2016-10-24,5
2016-10-25,3
2016-10-26,10
2016-10-27,6
2016-10-28,14
2016-10-29,7
2016-10-30,5
2016-10-31,6
2016-11-01,7
2016-11-02,18
2016-11-03,24
2016-11-04,14
2016-11-05,30
2016-11-06,27
2016-11-07,31
2016-11-08,20
2016-11-09,8
2016-11-10,12
2016-11-11,9
2016-11-12,4
2016-11-13,6
2016-11-14,5
2016-11-15,14
2016-11-16,9
2016-11-17,16
2016-11-18,9
2016-11-19,7
2016-11-20,6
2016-11-21,7
2016-11-22,5
2016-11-23,7
2016-11-24,7
2016-11-25,4
2016-11-26,6
2016-11-27,4
2016-11-28,6
2016-11-29,8
2016-11-30,7
2016-12-01,12
2016-12-02,4
2016-12-03,15
2016-12-04,4
2016-12-05,11
2016-12-06,12
2016-12-07,6
2016-12-08,5
2016-12-09,4
2016-12-10,5
2016-12-11,5
2016-12-12,13
2016-12-13,3
2016-12-14,9
2016-12-15,9
2016-12-16,10
2016-12-17,4
2016-12-18,4
2016-12-19,4
2016-12-20,15
2016-12-21,7
2016-12-22,4
2016-12-23,3
2016-12-24,9
2016-12-25,2
2016-12-26,3
2016-12-27,6
2016-12-28,2
2016-12-29,6
2016-12-30,10
2016-12-31,2
2017-01-01,2
2017-01-02,2
2017-01-03,9
2017-01-04,13
2017-01-05,11
2017-01-06,15
2017-01-07,7
2017-01-08,6
2017-01-09,17
2017-01-10,9
2017-01-11,8
2017-01-12,3
2017-01-13,6
2017-01-14,4
2017-01-15,3
2017-01-16,4
2017-01-17,64
2017-01-18,226
2017-01-19,576
2017-01-20,545
2017-01-21,445
2017-01-22,429
2017-01-23,407
2017-01-24,474
2017-01-25,546
2017-01-26,3500
2017-01-27,621
2017-01-28,820
2017-01-29,684
2017-01-30,584
2017-01-31,582
2017-02-01,527
2017-02-02,971
2017-02-03,493
2017-02-04,545
2017-02-05,436
2017-02-06,612
2017-02-07,792
2017-02-08,664
2017-02-09,74
2017-02-10,5
2017-02-11,2
2017-02-12,1
2017-02-13,7
2017-02-14,18
2017-02-15,9
2017-02-16,8
2017-02-17,3
2017-02-18,3
2017-02-19,2
2017-02-20,2
2017-02-21,8
2017-02-22,2
2017-02-23,38
2017-02-24,3
2017-02-25,424
2017-02-26,0
2017-02-27,72
2017-02-28,609
2017-03-01,355
2017-03-02,3
2017-03-03,578
2017-03-04,673
2017-03-05,4
2017-03-06,4
2017-03-07,14
2017-03-08,13
2017-03-09,14
2017-03-10,5
2017-03-11,5
2017-03-12,5
2017-03-13,6
2017-03-14,4
2017-03-15,220
2017-03-16,1110
2017-03-17,2116
2017-03-18,1313
2017-03-19,538
2017-03-20,3448
2017-03-21,1765
2017-03-22,1539
2017-03-23,674
2017-03-24,488
2017-03-25,437
2017-03-26,578
2017-03-27,573
2017-03-28,170
2017-03-29,321
2017-03-30,660
2017-03-31,713
2017-04-01,671
2017-04-02,619
2017-04-03,901
2017-04-04,861
2017-04-05,974
2017-04-06,715
2017-04-07,451
2017-04-08,474
2017-04-09,584
2017-04-10,1778
2017-04-11,942
2017-04-12,2046
2017-04-13,1211
2017-04-14,742
2017-04-15,724
2017-04-16,899
2017-04-17,637
2017-04-18,3006
2017-04-19,2270
2017-04-20,2132
2017-04-21,1259
2017-04-22,1446
2017-04-23,1346
2017-04-24,1953
2017-04-25,1700
2017-04-26,811
2017-04-27,530
2017-04-28,569
2017-04-29,1498
2017-04-30,1122
2017-05-01,1268
2017-05-02,575
2017-05-03,3118
2017-05-04,2156
2017-05-05,1054
2017-05-06,3114
2017-05-07,944
2017-05-08,1516
2017-05-09,171
2017-05-10,10
2017-05-11,5
2017-05-12,9
2017-05-13,4
2017-05-14,5
2017-05-15,621
2017-05-16,6284
2017-05-17,2325
2017-05-18,1276
2017-05-19,493
2017-05-20,539
2017-05-21,902
2017-05-22,797
2017-05-23,629
2017-05-24,729
2017-05-25,1834
2017-05-26,788
2017-05-27,580
2017-05-28,1182
2017-05-29,793
2017-05-30,1038
2017-05-31,675
2017-06-01,1116
2017-06-02,1536
2017-06-03,678
2017-06-04,477
2017-06-05,2687
2017-06-06,3503
2017-06-07,1101
2017-06-08,691
2017-06-09,673
2017-06-10,914
2017-06-11,669
2017-06-12,1410
2017-06-13,1201
2017-06-14,1199
2017-06-15,715
2017-06-16,639
2017-06-17,558
2017-06-18,588
2017-06-19,505
2017-06-20,917
2017-06-21,1598
2017-06-22,1029
2017-06-23,2260
2017-06-24,1379
2017-06-25,571
2017-06-26,783
2017-06-27,1595
2017-06-28,1653
2017-06-29,701
2017-06-30,631
2017-07-01,518
2017-07-02,488
2017-07-03,489
2017-07-04,481
2017-07-05,727
2017-07-06,12902
2017-07-07,25756
2017-07-08,3902
2017-07-09,10640
2017-07-10,4468
2017-07-11,2282
2017-07-12,882
2017-07-13,1142
2017-07-14,967
2017-07-15,588
2017-07-16,932
2017-07-17,4614
2017-07-18,1609
2017-07-19,863
2017-07-20,693
2017-07-21,613
2017-07-22,573
2017-07-23,638
2017-07-24,868
2017-07-25,2
2017-07-26,521
2017-07-27,615
2017-07-28,491
2017-07-29,515
2017-07-30,761
2017-07-31,1328
2017-08-01,573
2017-08-02,792
2017-08-03,1085
2017-08-04,2946
2017-08-05,2878
2017-08-06,567
2017-08-07,529
2017-08-08,459
2017-08-09,16919
2017-08-10,53
2017-08-11,2083
2017-08-12,624
2017-08-13,976
2017-08-14,2417
2017-08-15,748
2017-08-16,7390
2017-08-17,2847
2017-08-18,542
2017-08-19,1068
2017-08-20,973
2017-08-21,2988
2017-08-22,666
2017-08-23,199
2017-08-24,49
2017-08-25,48
2017-08-26,60
2017-08-27,15
2017-08-28,48
2017-08-29,17
2017-08-30,8
2017-08-31,29
2017-09-01,37
2017-09-02,33
2017-09-03,40
2017-09-04,63
2017-09-05,63
2017-09-06,56
2017-09-07,29
2017-09-08,54
2017-09-09,49
2017-09-10,45
2017-09-11,50
2017-09-12,66
2017-09-13,17
2017-09-14,7
2017-09-15,19
2017-09-16,18
2017-09-17,29
2017-09-18,69
2017-09-19,68
2017-09-20,62
2017-09-21,96
2017-09-22,94
2017-09-23,52
2017-09-24,49
2017-09-25,103
2017-09-26,70
2017-09-27,87
2017-09-28,39
2017-09-29,50
2017-09-30,13
2017-10-01,9
2017-10-02,25
2017-10-03,51
2017-10-04,67
2017-10-05,68
2017-10-06,55
2017-10-07,63
2017-10-08,46
2017-10-09,58
2017-10-10,47
2017-10-11,15
2017-10-12,24
2017-10-13,20
2017-10-14,54
2017-10-15,35
2017-10-16,62
2017-10-17,70
2017-10-18,9
2017-10-19,11
2017-10-20,4
2017-10-21,3
2017-10-22,0
2017-10-23,6
2017-10-24,14
2017-10-25,3
2017-10-26,5
2017-10-27,18
2017-10-28,25
2017-10-29,42
2017-10-30,69
2017-10-31,8
2017-11-01,32
2017-11-02,43
2017-11-03,51
2017-11-04,44
2017-11-05,81
2017-11-06,6
2017-11-07,8
2017-11-08,15
2017-11-09,4
2017-11-10,12
2017-11-11,18
2017-11-12,6
2017-11-13,21
2017-11-14,37
2017-11-15,39
2017-11-16,42
2017-11-17,45
2017-11-18,34
2017-11-19,11
2017-11-20,10
2017-11-21,53
2017-11-22,65
2017-11-23,10
2017-11-24,4
2017-11-25,1
2017-11-26,4
2017-11-27,9
2017-11-28,42
2017-11-29,68
2017-11-30,72
2017-12-01,71
2017-12-02,41
2017-12-03,49
2017-12-04,67
2017-12-05,128
2017-12-06,55
2017-12-07,19
2017-12-08,44
2017-12-09,59
2017-12-10,57
2017-12-11,73
2017-12-12,134
2017-12-13,56
2017-12-14,75
2017-12-15,75
2017-12-16,39
2017-12-17,82
2017-12-18,86
2017-12-19,117
2017-12-20,182
2017-12-21,190
2017-12-22,75
2017-12-23,55
2017-12-24,89
2017-12-25,111
2017-12-26,102
2017-12-27,195
2017-12-28,98
2017-12-29,94
2017-12-30,184
2017-12-31,33
2018-01-01,53
2018-01-02,72
2018-01-03,29
2018-01-04,103
2018-01-05,93
2018-01-06,57
2018-01-07,78
2018-01-08,135
2018-01-09,11
2018-01-10,0
2018-01-11,0
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,0
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,0
2018-01-27,0
2018-01-28,0
2018-01-29,0
2018-01-30,0
2018-01-31,0
2018-02-01,0
2018-02-02,0
2018-02-03,0
2018-02-04,0
2018-02-05,0
2018-02-06,0
2018-02-07,0
2018-02-08,0
2018-02-09,0
