date,count
2016-01-01,1
2016-01-02,1
2016-01-03,0
2016-01-04,2
2016-01-05,4
2016-01-06,1
2016-01-07,1
2016-01-08,1
2016-01-09,1
2016-01-10,1
2016-01-11,4
2016-01-12,2
2016-01-13,3
2016-01-14,4
2016-01-15,2
2016-01-16,3
2016-01-17,2
2016-01-18,2
2016-01-19,2
2016-01-20,4
2016-01-21,1
2016-01-22,3
2016-01-23,0
2016-01-24,1
2016-01-25,3
2016-01-26,3
2016-01-27,1
2016-01-28,5
2016-01-29,1
2016-01-30,1
2016-01-31,1
2016-02-01,4
2016-02-02,1
2016-02-03,4
2016-02-04,2
2016-02-05,4
2016-02-06,2
2016-02-07,1
2016-02-08,7
2016-02-09,4
2016-02-10,1
2016-02-11,3
2016-02-12,5
2016-02-13,2
2016-02-14,1
2016-02-15,2
2016-02-16,1
2016-02-17,1
2016-02-18,5
2016-02-19,6
2016-02-20,2
2016-02-21,1
2016-02-22,5
2016-02-23,2
2016-02-24,3
2016-02-25,3
2016-02-26,2
2016-02-27,1
2016-02-28,1
2016-02-29,1
2016-03-01,2
2016-03-02,2
2016-03-03,3
2016-03-04,4
2016-03-05,1
2016-03-06,3
2016-03-07,7
2016-03-08,4
2016-03-09,1
2016-03-10,0
2016-03-11,1
2016-03-12,1
2016-03-13,1
2016-03-14,4
2016-03-15,2
2016-03-16,6
2016-03-17,5
2016-03-18,1
2016-03-19,2
2016-03-20,1
2016-03-21,2
2016-03-22,3
2016-03-23,5
2016-03-24,5
2016-03-25,5
2016-03-26,1
2016-03-27,1
2016-03-28,4
2016-03-29,2
2016-03-30,3
2016-03-31,2
2016-04-01,12
2016-04-02,2
2016-04-03,5
2016-04-04,7
2016-04-05,5
2016-04-06,5
2016-04-07,5
2016-04-08,5
2016-04-09,1
2016-04-10,6
2016-04-11,4
2016-04-12,2
2016-04-13,4
2016-04-14,2
2016-04-15,1
2016-04-16,1
2016-04-17,2
2016-04-18,5
2016-04-19,3
2016-04-20,2
2016-04-21,3
2016-04-22,6
2016-04-23,1
2016-04-24,2
2016-04-25,2
2016-04-26,5
2016-04-27,3
2016-04-28,3
2016-04-29,3
2016-04-30,3
2016-05-01,1
2016-05-02,1
2016-05-03,4
2016-05-04,1
2016-05-05,14
2016-05-06,4
2016-05-07,4
2016-05-08,2
2016-05-09,4
2016-05-10,8
2016-05-11,9
2016-05-12,7
2016-05-13,2
2016-05-14,3
2016-05-15,1
2016-05-16,4
2016-05-17,8
2016-05-18,5
2016-05-19,7
2016-05-20,3
2016-05-21,1
2016-05-22,2
2016-05-23,4
2016-05-24,5
2016-05-25,2
2016-05-26,2
2016-05-27,1
2016-05-28,4
2016-05-29,1
2016-05-30,4
2016-05-31,2
2016-06-01,0
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,1
2016-06-08,0
2016-06-09,2
2016-06-10,1
2016-06-11,0
2016-06-12,1
2016-06-13,0
2016-06-14,0
2016-06-15,1
2016-06-16,1
2016-06-17,1
2016-06-18,0
2016-06-19,2
2016-06-20,2
2016-06-21,1
2016-06-22,0
2016-06-23,1
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,1
2016-06-28,0
2016-06-29,1
2016-06-30,0
2016-07-01,3
2016-07-02,2
2016-07-03,1
2016-07-04,3
2016-07-05,8
2016-07-06,12
2016-07-07,2
2016-07-08,4
2016-07-09,2
2016-07-10,2
2016-07-11,6
2016-07-12,4
2016-07-13,3
2016-07-14,1
2016-07-15,2
2016-07-16,1
2016-07-17,1
2016-07-18,5
2016-07-19,7
2016-07-20,3
2016-07-21,8
2016-07-22,4
2016-07-23,3
2016-07-24,4
2016-07-25,7
2016-07-26,5
2016-07-27,3
2016-07-28,1
2016-07-29,4
2016-07-30,1
2016-07-31,2
2016-08-01,9
2016-08-02,9
2016-08-03,8
2016-08-04,4
2016-08-05,3
2016-08-06,7
2016-08-07,6
2016-08-08,1
2016-08-09,6
2016-08-10,4
2016-08-11,5
2016-08-12,2
