date,count
2016-01-01,1
2016-01-02,0
2016-01-03,0
2016-01-04,3
2016-01-05,1
2016-01-06,1
2016-01-07,2
2016-01-08,1
2016-01-09,0
2016-01-10,1
2016-01-11,1
2016-01-12,3
2016-01-13,0
2016-01-14,4
2016-01-15,2
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,3
2016-01-20,2
2016-01-21,0
2016-01-22,2
2016-01-23,1
2016-01-24,3
2016-01-25,3
2016-01-26,3
2016-01-27,2
2016-01-28,0
2016-01-29,1
2016-01-30,0
2016-01-31,1
2016-02-01,2
2016-02-02,3
2016-02-03,0
2016-02-04,0
2016-02-05,2
2016-02-06,0
2016-02-07,1
2016-02-08,4
2016-02-09,2
2016-02-10,1
2016-02-11,3
2016-02-12,4
2016-02-13,0
2016-02-14,0
2016-02-15,1
2016-02-16,5
2016-02-17,5
2016-02-18,9
2016-02-19,3
2016-02-20,3
2016-02-21,1
2016-02-22,6
2016-02-23,4
2016-02-24,6
2016-02-25,3
2016-02-26,3
2016-02-27,0
2016-02-28,1
2016-02-29,1
2016-03-01,5
2016-03-02,2
2016-03-03,7
2016-03-04,1
2016-03-05,0
2016-03-06,0
2016-03-07,2
2016-03-08,4
2016-03-09,5
2016-03-10,3
2016-03-11,1
2016-03-12,4
2016-03-13,1
2016-03-14,3
2016-03-15,1
2016-03-16,0
2016-03-17,5
2016-03-18,1
2016-03-19,0
2016-03-20,0
2016-03-21,2
2016-03-22,3
2016-03-23,4
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,3
2016-03-28,1
2016-03-29,1
2016-03-30,0
2016-03-31,0
2016-04-01,2
2016-04-02,0
2016-04-03,2
2016-04-04,2
2016-04-05,6
2016-04-06,4
2016-04-07,5
2016-04-08,0
2016-04-09,1
2016-04-10,2
2016-04-11,0
2016-04-12,2
2016-04-13,1
2016-04-14,3
2016-04-15,5
2016-04-16,3
2016-04-17,0
2016-04-18,2
2016-04-19,1
2016-04-20,1
2016-04-21,2
2016-04-22,2
2016-04-23,1
2016-04-24,0
2016-04-25,0
2016-04-26,4
2016-04-27,3
2016-04-28,5
2016-04-29,4
2016-04-30,4
2016-05-01,0
2016-05-02,0
2016-05-03,3
2016-05-04,2
2016-05-05,5
2016-05-06,0
2016-05-07,0
2016-05-08,0
2016-05-09,2
2016-05-10,2
2016-05-11,1
2016-05-12,5
2016-05-13,0
2016-05-14,0
2016-05-15,1
2016-05-16,1
2016-05-17,2
2016-05-18,3
2016-05-19,6
2016-05-20,0
2016-05-21,0
2016-05-22,1
2016-05-23,3
2016-05-24,3
2016-05-25,4
2016-05-26,1
2016-05-27,3
2016-05-28,1
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,1
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,0
2016-06-09,0
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,0
2016-06-15,0
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,0
2016-06-22,0
2016-06-23,0
2016-06-24,1
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,4
2016-07-02,3
2016-07-03,0
2016-07-04,1
2016-07-05,0
2016-07-06,2
2016-07-07,2
2016-07-08,2
2016-07-09,1
2016-07-10,0
2016-07-11,3
2016-07-12,1
2016-07-13,1
2016-07-14,0
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,0
2016-07-19,3
2016-07-20,1
2016-07-21,4
2016-07-22,1
2016-07-23,0
2016-07-24,0
2016-07-25,1
2016-07-26,3
2016-07-27,1
2016-07-28,2
2016-07-29,1
2016-07-30,1
2016-07-31,3
2016-08-01,1
2016-08-02,2
2016-08-03,2
2016-08-04,5
2016-08-05,6
2016-08-06,0
2016-08-07,2
2016-08-08,4
2016-08-09,3
2016-08-10,3
2016-08-11,5
2016-08-12,4
2016-08-13,1
2016-08-14,0
2016-08-15,1
2016-08-16,2
2016-08-17,0
2016-08-18,1
2016-08-19,3
2016-08-20,0
2016-08-21,0
2016-08-22,3
2016-08-23,4
2016-08-24,2
2016-08-25,0
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,2
2016-08-30,6
2016-08-31,2
2016-09-01,6
2016-09-02,6
2016-09-03,2
2016-09-04,1
2016-09-05,13
2016-09-06,11
2016-09-07,5
2016-09-08,9
2016-09-09,8
2016-09-10,4
2016-09-11,3
2016-09-12,8
2016-09-13,9
2016-09-14,6
2016-09-15,5
2016-09-16,4
2016-09-17,4
2016-09-18,3
2016-09-19,6
2016-09-20,3
2016-09-21,7
2016-09-22,7
2016-09-23,4
2016-09-24,6
2016-09-25,5
2016-09-26,9
2016-09-27,9
2016-09-28,10
2016-09-29,10
2016-09-30,5
2016-10-01,10
2016-10-02,4
2016-10-03,23
2016-10-04,14
2016-10-05,13
2016-10-06,9
2016-10-07,3
2016-10-08,11
2016-10-09,4
2016-10-10,17
2016-10-11,25
2016-10-12,22
2016-10-13,16
2016-10-14,37
2016-10-15,12
2016-10-16,6
2016-10-17,9
2016-10-18,10
2016-10-19,7
2016-10-20,6
2016-10-21,15
2016-10-22,21
2016-10-23,9
2016-10-24,34
2016-10-25,19
2016-10-26,25
2016-10-27,18
2016-10-28,21
2016-10-29,20
2016-10-30,11
2016-10-31,9
2016-11-01,16
2016-11-02,7
2016-11-03,10
2016-11-04,6
2016-11-05,4
2016-11-06,4
2016-11-07,7
2016-11-08,17
2016-11-09,12
2016-11-10,9
2016-11-11,5
2016-11-12,0
2016-11-13,2
2016-11-14,2
2016-11-15,6
2016-11-16,5
2016-11-17,10
2016-11-18,5
2016-11-19,1
2016-11-20,1
2016-11-21,3
2016-11-22,7
2016-11-23,2
2016-11-24,1
2016-11-25,3
2016-11-26,0
2016-11-27,1
2016-11-28,7
2016-11-29,6
2016-11-30,8
2016-12-01,3
2016-12-02,1
2016-12-03,1
2016-12-04,8
2016-12-05,6
2016-12-06,13
2016-12-07,5
2016-12-08,7
2016-12-09,4
2016-12-10,3
2016-12-11,2
