date,count
2017-03-14,1
2017-03-15,4
2017-03-16,20
2017-03-17,22
2017-03-18,2
2017-03-19,1
2017-03-20,32
2017-03-21,7
2017-03-22,0
2017-03-23,0
2017-03-24,1
2017-03-25,0
2017-03-26,0
2017-03-27,2
2017-03-28,0
2017-03-29,39
2017-03-30,7
2017-03-31,2
2017-04-01,1
2017-04-02,1
2017-04-03,1
2017-04-04,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-08,0
2017-04-09,1
2017-04-10,1
2017-04-11,0
2017-04-12,1
2017-04-13,0
2017-04-14,97
2017-04-15,106
2017-04-16,181
2017-04-17,238
2017-04-18,379
2017-04-19,98
2017-04-20,18
2017-04-21,26
2017-04-22,15
2017-04-23,5
2017-04-24,21
2017-04-25,22
2017-04-26,17
2017-04-27,4
2017-04-28,0
2017-04-29,4
2017-04-30,0
2017-05-01,1
2017-05-02,0
2017-05-03,1
2017-05-04,2
2017-05-05,1
2017-05-06,2
2017-05-07,1
2017-05-08,2
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,8
2017-05-13,10
2017-05-14,4
2017-05-15,42
2017-05-16,415
2017-05-17,310
2017-05-18,92
2017-05-19,116
2017-05-20,86
2017-05-21,26
2017-05-22,47
2017-05-23,245
2017-05-24,250
2017-05-25,298
2017-05-26,69
2017-05-27,24
2017-05-28,28
2017-05-29,18
2017-05-30,33
2017-05-31,9
2017-06-01,18
2017-06-02,16
2017-06-03,10
2017-06-04,4
2017-06-05,7
2017-06-06,10
2017-06-07,8
2017-06-08,5
2017-06-09,2
2017-06-10,98
2017-06-11,178
2017-06-12,37
2017-06-13,13
2017-06-14,8
2017-06-15,4
2017-06-16,6
2017-06-17,3
2017-06-18,2
2017-06-19,13
2017-06-20,74
2017-06-21,4
2017-06-22,9
2017-06-23,5
2017-06-24,6
2017-06-25,1
2017-06-26,3
2017-06-27,803
2017-06-28,403
2017-06-29,208
2017-06-30,74
2017-07-01,88
2017-07-02,48
2017-07-03,52
2017-07-04,14
2017-07-05,12
2017-07-06,12
2017-07-07,1
2017-07-08,6
2017-07-09,1
2017-07-10,1
2017-07-11,2
2017-07-12,12
2017-07-13,2
2017-07-14,2
2017-07-15,1
2017-07-16,3
2017-07-17,5
2017-07-18,3
2017-07-19,7
2017-07-20,1
2017-07-21,4
2017-07-22,3
2017-07-23,1
2017-07-24,29
2017-07-25,0
2017-07-26,1
2017-07-27,3
2017-07-28,3
2017-07-29,23
2017-07-30,61
2017-07-31,34
2017-08-01,5
2017-08-02,0
2017-08-03,6
2017-08-04,3
2017-08-05,2
2017-08-06,2
2017-08-07,4
2017-08-08,29
2017-08-09,17
2017-08-10,0
2017-08-11,2
2017-08-12,3
2017-08-13,6
2017-08-14,30
2017-08-15,15
2017-08-16,2
2017-08-17,5
2017-08-18,11
2017-08-19,1
2017-08-20,0
2017-08-21,4
2017-08-22,1
2017-08-23,2
2017-08-24,0
2017-08-25,3
2017-08-26,2
2017-08-27,3
2017-08-28,1
2017-08-29,4
2017-08-30,2
2017-08-31,2
2017-09-01,1
2017-09-02,2
2017-09-03,1
2017-09-04,1
2017-09-05,3
2017-09-06,2
2017-09-07,0
2017-09-08,4
2017-09-09,4
2017-09-10,2
2017-09-11,3
2017-09-12,4
2017-09-13,0
2017-09-14,1
2017-09-15,1
2017-09-16,1
2017-09-17,0
2017-09-18,2
2017-09-19,1
2017-09-20,1
2017-09-21,2
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,3
2017-09-26,1
2017-09-27,3
2017-09-28,3
2017-09-29,1
2017-09-30,0
2017-10-01,3
2017-10-02,3
2017-10-03,2
2017-10-04,1
2017-10-05,6
2017-10-06,1
2017-10-07,0
2017-10-08,0
2017-10-09,3
2017-10-10,3
2017-10-11,1
2017-10-12,16
2017-10-13,0
2017-10-14,1
2017-10-15,0
2017-10-16,5
2017-10-17,1
2017-10-18,0
2017-10-19,0
2017-10-20,0
2017-10-21,2
2017-10-22,2
2017-10-23,2
2017-10-24,5
2017-10-25,0
2017-10-26,1
2017-10-27,3
2017-10-28,0
2017-10-29,2
2017-10-30,3
2017-10-31,2
2017-11-01,2
2017-11-02,0
2017-11-03,0
2017-11-04,0
2017-11-05,1
2017-11-06,2
2017-11-07,4
2017-11-08,1
2017-11-09,0
2017-11-10,4
2017-11-11,2
2017-11-12,0
2017-11-13,3
2017-11-14,1
2017-11-15,2
2017-11-16,6
2017-11-17,5
2017-11-18,0
2017-11-19,2
2017-11-20,2
2017-11-21,2
2017-11-22,4
2017-11-23,0
2017-11-24,0
2017-11-25,3
2017-11-26,2
2017-11-27,0
2017-11-28,3
2017-11-29,1
2017-11-30,1
2017-12-01,2
2017-12-02,0
2017-12-03,1
2017-12-04,2
2017-12-05,3
2017-12-06,1
2017-12-07,17
2017-12-08,10
2017-12-09,3
2017-12-10,4
2017-12-11,5
2017-12-12,1
2017-12-13,0
2017-12-14,1
2017-12-15,1
2017-12-16,6
2017-12-17,0
2017-12-18,1
2017-12-19,3
2017-12-20,2
2017-12-21,1
2017-12-22,4
2017-12-23,3
2017-12-24,1
2017-12-25,2
2017-12-26,0
2017-12-27,0
2017-12-28,1
2017-12-29,0
2017-12-30,1
2017-12-31,2
2018-01-01,0
2018-01-02,1
2018-01-03,4
2018-01-04,1
2018-01-05,1
2018-01-06,2
2018-01-07,2
2018-01-08,1
