date,count
2016-01-04,2
2016-01-05,0
2016-01-06,1
2016-01-07,3
2016-01-08,2
2016-01-09,0
2016-01-10,0
2016-01-11,1
2016-01-12,3
2016-01-13,3
2016-01-14,2
2016-01-15,3
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,5
2016-01-21,0
2016-01-22,0
2016-01-23,0
2016-01-24,0
2016-01-25,5
2016-01-26,5
2016-01-27,7
2016-01-28,1
2016-01-29,0
2016-01-30,1
2016-01-31,0
2016-02-01,1
2016-02-02,0
2016-02-03,1
2016-02-04,0
2016-02-05,0
2016-02-06,0
2016-02-07,1
2016-02-08,2
2016-02-09,4
2016-02-10,4
2016-02-11,0
2016-02-12,1
2016-02-13,1
2016-02-14,0
2016-02-15,2
2016-02-16,0
2016-02-17,0
2016-02-18,4
2016-02-19,1
2016-02-20,1
2016-02-21,0
2016-02-22,2
2016-02-23,5
2016-02-24,3
2016-02-25,0
2016-02-26,1
2016-02-27,2
2016-02-28,0
2016-02-29,3
2016-03-01,1
2016-03-02,4
2016-03-03,3
2016-03-04,1
2016-03-05,1
2016-03-06,1
2016-03-07,0
2016-03-08,3
2016-03-09,1
2016-03-10,0
2016-03-11,1
2016-03-12,0
2016-03-13,1
2016-03-14,0
2016-03-15,1
2016-03-16,2
2016-03-17,1
2016-03-18,1
2016-03-19,1
2016-03-20,1
2016-03-21,0
2016-03-22,1
2016-03-23,1
2016-03-24,2
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,0
2016-03-29,1
2016-03-30,1
2016-03-31,2
2016-04-01,2
2016-04-02,0
2016-04-03,1
2016-04-04,3
2016-04-05,2
2016-04-06,0
2016-04-07,0
2016-04-08,3
2016-04-09,1
2016-04-10,0
2016-04-11,2
2016-04-12,0
2016-04-13,1
2016-04-14,2
2016-04-15,1
2016-04-16,1
2016-04-17,1
2016-04-18,1
2016-04-19,1
2016-04-20,0
2016-04-21,1
2016-04-22,2
2016-04-23,0
2016-04-24,0
2016-04-25,2
2016-04-26,2
2016-04-27,1
2016-04-28,1
2016-04-29,1
2016-04-30,0
2016-05-01,0
2016-05-02,1
2016-05-03,1
2016-05-04,1
2016-05-05,3
2016-05-06,2
2016-05-07,2
2016-05-08,1
2016-05-09,1
2016-05-10,3
2016-05-11,0
2016-05-12,0
2016-05-13,1
2016-05-14,1
2016-05-15,0
2016-05-16,1
2016-05-17,1
2016-05-18,6
2016-05-19,3
2016-05-20,1
2016-05-21,0
2016-05-22,0
2016-05-23,0
2016-05-24,4
2016-05-25,7
2016-05-26,1
2016-05-27,6
2016-05-28,1
2016-05-29,2
2016-05-30,0
2016-05-31,7
2016-06-01,0
2016-06-02,0
2016-06-03,2
2016-06-04,0
2016-06-05,0
2016-06-06,1
2016-06-07,2
2016-06-08,1
2016-06-09,2
2016-06-10,1
2016-06-11,1
2016-06-12,0
2016-06-13,0
2016-06-14,0
2016-06-15,0
2016-06-16,1
2016-06-17,0
2016-06-18,1
2016-06-19,0
2016-06-20,2
2016-06-21,0
2016-06-22,0
2016-06-23,1
2016-06-24,0
2016-06-25,2
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,1
2016-06-30,0
2016-07-01,6
2016-07-02,2
2016-07-03,2
2016-07-04,3
2016-07-05,0
2016-07-06,0
2016-07-07,2
2016-07-08,2
2016-07-09,0
2016-07-10,0
2016-07-11,2
2016-07-12,3
2016-07-13,4
2016-07-14,2
2016-07-15,0
2016-07-16,1
2016-07-17,1
2016-07-18,3
2016-07-19,2
2016-07-20,4
2016-07-21,5
2016-07-22,2
2016-07-23,1
2016-07-24,0
2016-07-25,5
2016-07-26,2
2016-07-27,8
2016-07-28,1
2016-07-29,1
2016-07-30,1
2016-07-31,3
2016-08-01,7
2016-08-02,9
2016-08-03,4
2016-08-04,2
2016-08-05,1
2016-08-06,2
2016-08-07,3
2016-08-08,4
2016-08-09,0
2016-08-10,2
2016-08-11,4
2016-08-12,1
2016-08-13,3
2016-08-14,3
2016-08-15,4
2016-08-16,0
2016-08-17,6
2016-08-18,5
2016-08-19,3
2016-08-20,3
2016-08-21,2
2016-08-22,1
2016-08-23,1
2016-08-24,5
2016-08-25,3
2016-08-26,3
2016-08-27,5
2016-08-28,2
2016-08-29,4
2016-08-30,7
2016-08-31,12
2016-09-01,18
2016-09-02,4
2016-09-03,2
2016-09-04,1
2016-09-05,1
2016-09-06,1
2016-09-07,6
2016-09-08,6
2016-09-09,2
2016-09-10,1
2016-09-11,0
2016-09-12,1
2016-09-13,4
2016-09-14,2
2016-09-15,0
2016-09-16,3
2016-09-17,1
2016-09-18,0
2016-09-19,2
2016-09-20,3
2016-09-21,2
2016-09-22,7
2016-09-23,16
2016-09-24,11
2016-09-25,4
2016-09-26,5
2016-09-27,3
2016-09-28,2
2016-09-29,0
2016-09-30,0
2016-10-01,4
2016-10-02,0
2016-10-03,2
2016-10-04,2
2016-10-05,2
2016-10-06,2
2016-10-07,2
2016-10-08,3
2016-10-09,2
2016-10-10,3
2016-10-11,2
2016-10-12,1
2016-10-13,8
2016-10-14,2
2016-10-15,1
2016-10-16,3
2016-10-17,4
2016-10-18,3
2016-10-19,1
2016-10-20,5
2016-10-21,2
2016-10-22,1
2016-10-23,0
2016-10-24,1
2016-10-25,4
2016-10-26,2
2016-10-27,3
2016-10-28,0
2016-10-29,0
2016-10-30,0
2016-10-31,0
2016-11-01,4
2016-11-02,3
2016-11-03,2
2016-11-04,1
2016-11-05,1
2016-11-06,1
2016-11-07,3
2016-11-08,4
2016-11-09,2
2016-11-10,2
2016-11-11,2
2016-11-12,1
2016-11-13,1
2016-11-14,4
2016-11-15,2
2016-11-16,17
2016-11-17,8
2016-11-18,9
2016-11-19,2
2016-11-20,1
2016-11-21,5
2016-11-22,1
2016-11-23,3
2016-11-24,2
2016-11-25,1
2016-11-26,0
2016-11-27,2
2016-11-28,5
2016-11-29,5
2016-11-30,5
2016-12-01,4
2016-12-02,1
2016-12-03,1
2016-12-04,1
2016-12-05,6
2016-12-06,2
2016-12-07,4
2016-12-08,0
2016-12-09,1
2016-12-10,1
2016-12-11,0
2016-12-12,3
2016-12-13,3
2016-12-14,0
2016-12-15,2
2016-12-16,5
2016-12-17,7
2016-12-18,4
2016-12-19,4
2016-12-20,2
2016-12-21,1
2016-12-22,5
2016-12-23,0
2016-12-24,2
2016-12-25,0
2016-12-26,0
2016-12-27,3
2016-12-28,1
2016-12-29,4
2016-12-30,4
2016-12-31,2
2017-01-01,0
2017-01-02,0
2017-01-03,3
2017-01-04,3
2017-01-05,1
2017-01-06,0
2017-01-07,3
2017-01-08,4
2017-01-09,2
2017-01-10,3
2017-01-11,2
2017-01-12,3
2017-01-13,3
2017-01-14,1
2017-01-15,0
2017-01-16,0
2017-01-17,15
2017-01-18,24
2017-01-19,120
2017-01-20,95
2017-01-21,61
2017-01-22,100
2017-01-23,83
2017-01-24,72
2017-01-25,159
2017-01-26,146
2017-01-27,150
2017-01-28,114
2017-01-29,53
2017-01-30,154
2017-01-31,607
2017-02-01,191
2017-02-02,140
2017-02-03,120
2017-02-04,71
2017-02-05,59
2017-02-06,96
2017-02-07,118
2017-02-08,77
2017-02-09,13
2017-02-10,2
2017-02-11,2
2017-02-12,1
2017-02-13,0
2017-02-14,1
2017-02-15,2
2017-02-16,1
2017-02-17,0
2017-02-18,1
2017-02-19,0
2017-02-20,1
2017-02-21,2
2017-02-22,1
2017-02-23,4
2017-02-24,2
2017-02-25,26
2017-02-26,2
2017-02-27,16
2017-02-28,68
2017-03-01,69
2017-03-02,3
2017-03-03,90
2017-03-04,73
2017-03-05,0
2017-03-06,2
2017-03-07,2
2017-03-08,7
2017-03-09,3
2017-03-10,6
2017-03-11,1
2017-03-12,4
2017-03-13,9
2017-03-14,8
2017-03-15,10
2017-03-16,127
2017-03-17,87
2017-03-18,71
2017-03-19,47
2017-03-20,148
2017-03-21,125
2017-03-22,186
2017-03-23,119
2017-03-24,127
2017-03-25,63
2017-03-26,64
2017-03-27,117
2017-03-28,21
2017-03-29,527
2017-03-30,377
2017-03-31,163
2017-04-01,87
