date,count
2016-01-04,1
2016-01-05,2
2016-01-06,3
2016-01-07,2
2016-01-08,5
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,1
2016-01-13,1
2016-01-14,2
2016-01-15,0
2016-01-16,0
2016-01-17,0
2016-01-18,3
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,1
2016-01-24,1
2016-01-25,0
2016-01-26,0
2016-01-27,1
2016-01-28,1
2016-01-29,2
2016-01-30,0
2016-01-31,0
2016-02-01,2
2016-02-02,6
2016-02-03,1
2016-02-04,1
2016-02-05,0
2016-02-06,0
2016-02-07,1
2016-02-08,0
2016-02-09,0
2016-02-10,1
2016-02-11,0
2016-02-12,2
2016-02-13,1
2016-02-14,0
2016-02-15,2
2016-02-16,0
2016-02-17,0
2016-02-18,2
2016-02-19,0
2016-02-20,1
2016-02-21,0
2016-02-22,3
2016-02-23,1
2016-02-24,6
2016-02-25,2
2016-02-26,1
2016-02-27,0
2016-02-28,0
2016-02-29,1
2016-03-01,1
2016-03-02,1
2016-03-03,3
2016-03-04,2
2016-03-05,1
2016-03-06,0
2016-03-07,4
2016-03-08,5
2016-03-09,2
2016-03-10,0
2016-03-11,0
2016-03-12,1
2016-03-13,1
2016-03-14,0
2016-03-15,0
2016-03-16,1
2016-03-17,4
2016-03-18,0
2016-03-19,0
2016-03-20,0
2016-03-21,2
2016-03-22,0
2016-03-23,0
2016-03-24,5
2016-03-25,2
2016-03-26,0
2016-03-27,0
2016-03-28,2
2016-03-29,6
2016-03-30,2
2016-03-31,3
2016-04-01,0
2016-04-02,0
2016-04-03,0
2016-04-04,1
2016-04-05,0
2016-04-06,2
2016-04-07,3
2016-04-08,2
2016-04-09,2
2016-04-10,0
2016-04-11,1
2016-04-12,0
2016-04-13,0
2016-04-14,1
2016-04-15,1
2016-04-16,0
2016-04-17,0
2016-04-18,2
2016-04-19,0
2016-04-20,0
2016-04-21,1
2016-04-22,1
2016-04-23,1
2016-04-24,3
2016-04-25,3
2016-04-26,7
2016-04-27,1
2016-04-28,1
2016-04-29,2
2016-04-30,1
2016-05-01,1
2016-05-02,4
2016-05-03,4
2016-05-04,1
2016-05-05,1
2016-05-06,3
2016-05-07,2
2016-05-08,1
2016-05-09,2
2016-05-10,2
2016-05-11,1
2016-05-12,2
2016-05-13,3
2016-05-14,3
2016-05-15,0
2016-05-16,2
2016-05-17,1
2016-05-18,4
2016-05-19,1
2016-05-20,2
2016-05-21,1
2016-05-22,0
2016-05-23,4
2016-05-24,6
2016-05-25,2
2016-05-26,3
2016-05-27,2
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,0
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,1
2016-06-07,0
2016-06-08,0
2016-06-09,1
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,1
2016-06-15,0
2016-06-16,0
2016-06-17,1
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,0
2016-06-22,1
2016-06-23,0
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,1
2016-07-02,3
2016-07-03,0
2016-07-04,1
2016-07-05,0
2016-07-06,2
2016-07-07,3
2016-07-08,0
2016-07-09,1
2016-07-10,0
2016-07-11,1
2016-07-12,0
2016-07-13,0
2016-07-14,1
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,1
2016-07-19,1
2016-07-20,6
2016-07-21,7
2016-07-22,1
2016-07-23,1
2016-07-24,0
2016-07-25,1
2016-07-26,3
2016-07-27,1
2016-07-28,2
2016-07-29,2
2016-07-30,0
2016-07-31,1
2016-08-01,2
2016-08-02,3
2016-08-03,5
2016-08-04,3
2016-08-05,2
2016-08-06,1
2016-08-07,2
2016-08-08,1
2016-08-09,0
2016-08-10,2
2016-08-11,0
2016-08-12,2
2016-08-13,0
2016-08-14,0
2016-08-15,1
2016-08-16,2
2016-08-17,3
2016-08-18,2
2016-08-19,1
2016-08-20,1
2016-08-21,0
2016-08-22,3
2016-08-23,1
2016-08-24,0
2016-08-25,0
2016-08-26,2
2016-08-27,0
2016-08-28,2
2016-08-29,2
2016-08-30,5
2016-08-31,1
2016-09-01,1
2016-09-02,6
2016-09-03,0
2016-09-04,15
2016-09-05,12
2016-09-06,5
2016-09-07,5
2016-09-08,1
2016-09-09,7
2016-09-10,3
2016-09-11,2
2016-09-12,3
2016-09-13,5
2016-09-14,1
2016-09-15,1
2016-09-16,2
2016-09-17,0
2016-09-18,1
2016-09-19,1
2016-09-20,0
2016-09-21,2
2016-09-22,1
2016-09-23,2
2016-09-24,0
2016-09-25,0
2016-09-26,0
2016-09-27,0
2016-09-28,3
2016-09-29,4
2016-09-30,1
2016-10-01,2
2016-10-02,1
2016-10-03,0
2016-10-04,1
2016-10-05,2
2016-10-06,2
2016-10-07,2
2016-10-08,0
2016-10-09,0
2016-10-10,1
2016-10-11,0
2016-10-12,2
2016-10-13,3
2016-10-14,3
2016-10-15,1
2016-10-16,0
2016-10-17,1
2016-10-18,1
2016-10-19,1
2016-10-20,6
2016-10-21,2
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,0
2016-10-26,5
2016-10-27,2
2016-10-28,6
2016-10-29,0
2016-10-30,2
2016-10-31,2
2016-11-01,2
2016-11-02,2
2016-11-03,5
2016-11-04,1
2016-11-05,2
2016-11-06,8
2016-11-07,6
2016-11-08,3
2016-11-09,2
2016-11-10,4
2016-11-11,10
2016-11-12,2
2016-11-13,11
2016-11-14,6
2016-11-15,7
2016-11-16,4
2016-11-17,5
2016-11-18,2
2016-11-19,1
2016-11-20,0
2016-11-21,9
2016-11-22,5
2016-11-23,5
2016-11-24,4
2016-11-25,2
2016-11-26,1
2016-11-27,6
2016-11-28,7
2016-11-29,0
2016-11-30,5
2016-12-01,1
2016-12-02,1
2016-12-03,1
2016-12-04,1
2016-12-05,1
2016-12-06,1
2016-12-07,4
2016-12-08,2
2016-12-09,1
2016-12-10,0
2016-12-11,0
2016-12-12,4
2016-12-13,3
2016-12-14,3
2016-12-15,11
2016-12-16,5
2016-12-17,1
2016-12-18,4
2016-12-19,4
2016-12-20,3
2016-12-21,1
2016-12-22,0
2016-12-23,1
2016-12-24,1
2016-12-25,5
2016-12-26,3
2016-12-27,4
2016-12-28,2
2016-12-29,3
2016-12-30,1
2016-12-31,0
2017-01-01,0
2017-01-02,1
2017-01-03,4
2017-01-04,6
2017-01-05,2
2017-01-06,1
2017-01-07,0
2017-01-08,0
2017-01-09,2
2017-01-10,6
2017-01-11,3
2017-01-12,4
2017-01-13,1
2017-01-14,2
2017-01-15,2
2017-01-16,4
2017-01-17,11
2017-01-18,19
2017-01-19,107
2017-01-20,93
2017-01-21,70
2017-01-22,37
2017-01-23,113
2017-01-24,122
2017-01-25,73
2017-01-26,301
2017-01-27,170
2017-01-28,104
2017-01-29,66
2017-01-30,88
2017-01-31,157
2017-02-01,106
2017-02-02,240
2017-02-03,168
2017-02-04,98
2017-02-05,99
2017-02-06,151
2017-02-07,291
2017-02-08,180
