date,count
2016-01-03,1
2016-01-04,3
2016-01-05,1
2016-01-06,1
2016-01-07,2
2016-01-08,1
2016-01-09,0
2016-01-10,0
2016-01-11,1
2016-01-12,1
2016-01-13,0
2016-01-14,4
2016-01-15,0
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,1
2016-01-22,1
2016-01-23,0
2016-01-24,1
2016-01-25,1
2016-01-26,2
2016-01-27,10
2016-01-28,4
2016-01-29,0
2016-01-30,1
2016-01-31,0
2016-02-01,4
2016-02-02,3
2016-02-03,1
2016-02-04,3
2016-02-05,4
2016-02-06,0
2016-02-07,0
2016-02-08,1
2016-02-09,1
2016-02-10,0
2016-02-11,2
2016-02-12,1
2016-02-13,2
2016-02-14,1
2016-02-15,1
2016-02-16,9
2016-02-17,10
2016-02-18,9
2016-02-19,13
2016-02-20,8
2016-02-21,1
2016-02-22,5
2016-02-23,4
2016-02-24,1
2016-02-25,1
2016-02-26,7
2016-02-27,3
2016-02-28,1
2016-02-29,1
2016-03-01,3
2016-03-02,3
2016-03-03,3
2016-03-04,1
2016-03-05,0
2016-03-06,1
2016-03-07,16
2016-03-08,5
2016-03-09,2
2016-03-10,5
2016-03-11,3
2016-03-12,0
2016-03-13,0
2016-03-14,11
2016-03-15,9
2016-03-16,9
2016-03-17,1
2016-03-18,7
2016-03-19,3
2016-03-20,0
2016-03-21,1
2016-03-22,14
2016-03-23,13
2016-03-24,6
2016-03-25,12
2016-03-26,1
2016-03-27,0
2016-03-28,13
2016-03-29,17
2016-03-30,11
2016-03-31,9
2016-04-01,12
2016-04-02,2
2016-04-03,5
2016-04-04,17
2016-04-05,6
2016-04-06,4
2016-04-07,6
2016-04-08,5
2016-04-09,2
2016-04-10,1
2016-04-11,7
2016-04-12,16
2016-04-13,7
2016-04-14,7
2016-04-15,7
2016-04-16,1
2016-04-17,0
2016-04-18,6
2016-04-19,5
2016-04-20,10
2016-04-21,14
2016-04-22,6
2016-04-23,0
2016-04-24,2
2016-04-25,6
2016-04-26,8
2016-04-27,7
2016-04-28,3
2016-04-29,12
2016-04-30,5
2016-05-01,3
2016-05-02,12
2016-05-03,9
2016-05-04,5
2016-05-05,10
2016-05-06,12
2016-05-07,8
2016-05-08,2
2016-05-09,13
2016-05-10,6
2016-05-11,9
2016-05-12,9
2016-05-13,8
2016-05-14,0
2016-05-15,0
2016-05-16,7
2016-05-17,9
2016-05-18,3
2016-05-19,13
2016-05-20,10
2016-05-21,2
2016-05-22,1
2016-05-23,4
2016-05-24,7
2016-05-25,3
2016-05-26,2
2016-05-27,4
2016-05-28,0
2016-05-29,0
2016-05-30,5
2016-05-31,8
2016-06-01,1
2016-06-02,3
2016-06-03,1
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,2
2016-06-08,5
2016-06-09,0
2016-06-10,1
2016-06-11,0
2016-06-12,0
2016-06-13,1
2016-06-14,0
2016-06-15,0
2016-06-16,0
2016-06-17,1
2016-06-18,0
2016-06-19,1
2016-06-20,1
2016-06-21,0
2016-06-22,1
2016-06-23,0
2016-06-24,1
2016-06-25,1
2016-06-26,0
2016-06-27,0
2016-06-28,3
2016-06-29,0
2016-06-30,0
2016-07-01,3
2016-07-02,0
2016-07-03,0
2016-07-04,4
2016-07-05,9
2016-07-06,4
2016-07-07,6
2016-07-08,6
2016-07-09,1
2016-07-10,0
2016-07-11,8
2016-07-12,10
2016-07-13,8
2016-07-14,16
2016-07-15,2
2016-07-16,2
2016-07-17,2
2016-07-18,16
2016-07-19,13
2016-07-20,15
2016-07-21,6
2016-07-22,13
2016-07-23,4
2016-07-24,1
2016-07-25,13
2016-07-26,18
2016-07-27,9
2016-07-28,13
2016-07-29,10
2016-07-30,0
2016-07-31,4
2016-08-01,5
2016-08-02,5
2016-08-03,8
2016-08-04,5
2016-08-05,3
2016-08-06,3
2016-08-07,3
2016-08-08,11
2016-08-09,12
2016-08-10,9
2016-08-11,5
2016-08-12,1
2016-08-13,2
2016-08-14,0
2016-08-15,5
2016-08-16,8
2016-08-17,9
2016-08-18,5
2016-08-19,8
2016-08-20,2
2016-08-21,0
2016-08-22,2
2016-08-23,11
2016-08-24,13
2016-08-25,6
2016-08-26,6
2016-08-27,0
2016-08-28,1
2016-08-29,5
2016-08-30,3
2016-08-31,6
2016-09-01,5
2016-09-02,8
2016-09-03,3
2016-09-04,1
2016-09-05,3
2016-09-06,7
2016-09-07,28
2016-09-08,9
2016-09-09,3
2016-09-10,2
2016-09-11,2
2016-09-12,6
2016-09-13,3
2016-09-14,5
2016-09-15,3
2016-09-16,15
2016-09-17,4
2016-09-18,2
2016-09-19,4
2016-09-20,10
2016-09-21,10
2016-09-22,7
2016-09-23,4
2016-09-24,0
2016-09-25,2
2016-09-26,5
2016-09-27,6
2016-09-28,6
2016-09-29,4
2016-09-30,3
2016-10-01,3
2016-10-02,10
2016-10-03,7
2016-10-04,7
2016-10-05,5
2016-10-06,15
2016-10-07,12
2016-10-08,2
2016-10-09,8
2016-10-10,10
2016-10-11,19
2016-10-12,17
2016-10-13,17
2016-10-14,8
2016-10-15,5
2016-10-16,7
2016-10-17,14
2016-10-18,15
2016-10-19,5
2016-10-20,5
2016-10-21,2
2016-10-22,1
2016-10-23,3
2016-10-24,3
2016-10-25,4
2016-10-26,7
2016-10-27,3
2016-10-28,4
2016-10-29,0
2016-10-30,0
2016-10-31,2
2016-11-01,2
2016-11-02,5
2016-11-03,5
2016-11-04,3
2016-11-05,0
2016-11-06,0
2016-11-07,4
2016-11-08,3
2016-11-09,7
2016-11-10,3
2016-11-11,11
2016-11-12,2
2016-11-13,2
2016-11-14,11
2016-11-15,23
2016-11-16,11
2016-11-17,15
2016-11-18,12
2016-11-19,9
2016-11-20,2
2016-11-21,25
2016-11-22,12
2016-11-23,11
2016-11-24,8
2016-11-25,3
2016-11-26,9
2016-11-27,4
2016-11-28,27
2016-11-29,15
2016-11-30,12
2016-12-01,10
2016-12-02,6
2016-12-03,4
2016-12-04,3
2016-12-05,1
2016-12-06,12
2016-12-07,5
2016-12-08,19
2016-12-09,17
2016-12-10,4
2016-12-11,8
2016-12-12,18
2016-12-13,15
2016-12-14,12
2016-12-15,14
2016-12-16,9
2016-12-17,2
2016-12-18,1
2016-12-19,9
2016-12-20,21
2016-12-21,15
2016-12-22,11
2016-12-23,10
2016-12-24,9
2016-12-25,4
2016-12-26,1
2016-12-27,4
2016-12-28,4
2016-12-29,16
2016-12-30,7
2016-12-31,5
2017-01-01,1
2017-01-02,4
2017-01-03,17
2017-01-04,7
2017-01-05,34
2017-01-06,22
